Player,Position,Date of Birth,Age,Caps,Team,Year
Rory Kockott,Scrum-half,1986-06-25,28,3,France,2015
Sébastien Tillous-Borde,Scrum-half,1985-04-29,29,11,France,2015
Camille Lopez,Fly-half,1989-04-03,25,5,France,2015
Rémi Tales,Fly-half,1984-05-02,30,13,France,2015
Mathieu Bastareaud,Centre,1988-09-17,26,28,France,2015
Alexandre Dumoulin,Centre,1989-08-24,25,2,France,2015
Wesley Fofana,Centre,1988-01-20,27,30,France,2015
Rémi Lamerat,Centre,1990-01-14,25,3,France,2015
Sofiane Guitoune,Wing,1989-03-27,25,2,France,2015
Yoann Huget,Wing,1987-06-02,27,33,France,2015
Noa Nakaitaci,Wing,1990-07-11,24,0,France,2015
Teddy Thomas,Wing,1993-09-18,21,2,France,2015
Brice Dulin,Fullback,1990-04-13,24,18,France,2015
Scott Spedding,Fullback,1986-05-04,28,3,France,2015
Vincent Debaty,Prop,1981-10-02,33,25,France,2015
Thomas Domingo,Prop,1985-08-20,29,36,France,2015
Jocelino Suta,Lock,1982-11-18,32,5,France,2015
Wenceslas Lauret,Flanker,1989-03-28,25,7,France,2015
Loann Goujon,Number 8,1989-04-23,25,0,France,2015
Morgan Parra,Scrum-half,1988-11-15,26,56,France,2015
Pierre Bernard,Fly-half,1989-01-31,26,0,France,2015
Jules Plisson,Fly-half,1986-08-20,28,4,France,2015
Gaël Fickou,Centre,1994-03-26,20,9,France,2015
Maxime Mermoz,Centre,1986-07-28,28,28,France,2015
Marc Andreu,Wing,1985-12-27,29,7,France,2015
Rory Best,Hooker,1982-08-15,32,78,Ireland,2015
Seán Cronin,Hooker,1986-05-06,28,38,Ireland,2015
Richardt Strauss,Hooker,1986-01-29,29,6,Ireland,2015
James Cronin,Prop,1990-11-23,24,1,Ireland,2015
Cian Healy,Prop,1987-10-07,27,47,Ireland,2015
Jack McGrath,Prop,1989-10-11,25,12,Ireland,2015
Martin Moore,Prop,1991-03-01,23,5,Ireland,2015
Mike Ross,Prop,1979-12-21,35,44,Ireland,2015
Nathan White,Prop,1981-09-04,33,0,Ireland,2015
Iain Henderson,Lock,1992-02-21,22,12,Ireland,2015
Mike McCarthy,Lock,1981-11-27,33,17,Ireland,2015
Paul O'Connell (c),Lock,1979-10-20,35,96,Ireland,2015
Devin Toner,Lock,1986-06-29,28,20,Ireland,2015
Jordi Murphy,Flanker,1991-04-22,23,4,Ireland,2015
Seán O'Brien,Flanker,1987-02-14,27,30,Ireland,2015
Tommy O'Donnell,Flanker,1987-05-21,27,6,Ireland,2015
Peter O'Mahony,Flanker,1989-09-17,25,25,Ireland,2015
Dominic Ryan,Flanker,1990-03-28,24,1,Ireland,2015
Robbie Diack,Number 8,1985-11-12,29,2,Ireland,2015
Jamie Heaslip,Number 8,1983-12-15,31,69,Ireland,2015
Isaac Boss,Scrum-half,1980-04-09,34,20,Ireland,2015
Kieran Marmion,Scrum-half,1992-02-11,22,3,Ireland,2015
Conor Murray,Scrum-half,1989-04-20,25,30,Ireland,2015
Eoin Reddan,Scrum-half,1980-11-20,34,58,Ireland,2015
Ian Keatley,Fly-half,1987-04-01,27,3,Ireland,2015
Ian Madigan,Fly-half,1989-03-21,25,13,Ireland,2015
Johnny Sexton,Fly-half,1985-07-11,29,47,Ireland,2015
Darren Cave,Centre,1987-04-05,27,8,Ireland,2015
Gordon D'Arcy,Centre,1980-02-10,34,81,Ireland,2015
Robbie Henshaw,Centre,1993-06-12,21,5,Ireland,2015
Jared Payne,Centre,1985-10-13,29,1,Ireland,2015
Tommy Bowe,Wing,1984-02-22,30,56,Ireland,2015
Keith Earls,Wing,1987-10-02,27,39,Ireland,2015
Luke Fitzgerald,Wing,1987-09-13,27,27,Ireland,2015
David Kearney,Wing,1989-06-19,25,7,Ireland,2015
Simon Zebo,Wing,1990-03-16,24,11,Ireland,2015
Felix Jones,Fullback,1987-08-05,27,9,Ireland,2015
Rob Kearney,Fullback,1986-03-26,28,57,Ireland,2015
Michael Bent,Prop,1986-04-25,28,2,Ireland,2015
Tadhg Furlong,Prop,1992-11-14,22,0,Ireland,2015
Dan Tuohy,Lock,1985-06-18,29,9,Ireland,2015
Billy Holland,Flanker,1985-08-03,29,0,Ireland,2015
Roger Wilson,Number 8,1981-09-21,33,1,Ireland,2015
Fraser Brown,Hooker,1989-06-20,25,3,Scotland,2015
Ross Ford,Hooker,1984-04-23,30,80,Scotland,2015
Geoff Cross,Prop,1982-12-11,32,35,Scotland,2015
Alasdair Dickinson,Prop,1983-09-11,31,39,Scotland,2015
Euan Murray,Prop,1980-08-07,34,62,Scotland,2015
Gordon Reid,Prop,1987-03-04,27,6,Scotland,2015
Jon Welsh,Prop,1986-10-13,28,3,Scotland,2015
Jonny Gray,Lock,1994-03-14,20,8,Scotland,2015
Richie Gray,Lock,1989-08-24,25,42,Scotland,2015
Jim Hamilton,Lock,1982-11-17,32,57,Scotland,2015
Ben Toolis,Lock,1992-03-31,22,0,Scotland,2015
Hugh Blake,Flanker,1992-09-10,22,0,Scotland,2015
Blair Cowan,Flanker,1986-04-21,28,6,Scotland,2015
Rob Harley,Flanker,1990-05-26,24,10,Scotland,2015
Alasdair Strokosch,Flanker,1983-02-21,31,42,Scotland,2015
Hamish Watson,Flanker,1991-10-15,23,0,Scotland,2015
David Denton,Number 8,1990-02-05,25,23,Scotland,2015
Sam Hidalgo-Clyne,Scrum-half,1993-08-04,21,0,Scotland,2015
Greig Laidlaw (c),Scrum-half,1985-10-12,29,34,Scotland,2015
Henry Pyrgos,Scrum-half,1989-07-09,25,13,Scotland,2015
Finn Russell,Fly-half,1992-09-23,22,5,Scotland,2015
Greig Tonks,Fly-half,1989-05-20,25,1,Scotland,2015
Mark Bennett,Centre,1993-03-03,21,2,Scotland,2015
Alex Dunbar,Centre,1990-04-23,24,11,Scotland,2015
Peter Horne,Centre,1989-10-05,25,5,Scotland,2015
Sean Lamont,Centre,1981-01-15,34,91,Scotland,2015
Matt Scott,Centre,1990-09-30,24,21,Scotland,2015
Dougie Fife,Wing,1990-08-08,24,3,Scotland,2015
Sean Maitland,Wing,1988-09-14,26,15,Scotland,2015
Tommy Seymour,Wing,1988-07-01,26,13,Scotland,2015
Tim Visser,Wing,1987-05-29,27,15,Scotland,2015
Stuart Hogg,Fullback,1992-06-24,22,27,Scotland,2015
Stuart McInally,Hooker,1990-08-09,24,0,Scotland,2015
Alex Allan,Prop,1992-02-28,22,1,Scotland,2015
Ryan Grant,Prop,1985-10-08,29,19,Scotland,2015
Moray Low,Prop,1984-11-28,30,29,Scotland,2015
Tim Swinson,Lock,1987-02-17,27,9,Scotland,2015
Adam Ashe,Number 8,1993-07-24,21,3,Scotland,2015
Johnnie Beattie,Number 8,1985-11-21,29,34,Scotland,2015
Chris Cusiter,Scrum-half,1982-06-13,32,70,Scotland,2015
Scott Baldwin,Hooker,1988-07-12,26,5,Wales,2015
Kristian Dacey,Hooker,1989-07-25,25,0,Wales,2015
Richard Hibbard,Hooker,1983-12-13,31,33,Wales,2015
Scott Andrews,Prop,1989-08-01,25,9,Wales,2015
Rob Evans,Prop,1992-04-14,22,0,Wales,2015
Paul James,Prop,1982-05-13,32,57,Wales,2015
Aaron Jarvis,Prop,1986-05-20,28,5,Wales,2015
Gethin Jenkins,Prop,1980-11-17,34,110,Wales,2015
Samson Lee,Prop,1992-11-30,22,9,Wales,2015
Jake Ball,Lock,1991-06-21,23,8,Wales,2015
Luke Charteris,Lock,1983-03-09,31,50,Wales,2015
Bradley Davies,Lock,1987-01-09,28,44,Wales,2015
Alun Wyn Jones,Lock,1985-09-19,29,84,Wales,2015
James King,Flanker,1990-07-24,24,3,Wales,2015
Dan Lydiate,Flanker,1987-12-18,27,41,Wales,2015
Justin Tipuric,Flanker,1989-08-06,25,27,Wales,2015
Sam Warburton (c),Flanker,1988-12-05,26,49,Wales,2015
Taulupe Faletau,Number 8,1990-11-12,24,40,Wales,2015
Gareth Davies,Scrum-half,1990-08-18,24,1,Wales,2015
Mike Phillips,Scrum-half,1982-08-29,32,90,Wales,2015
Rhys Webb,Scrum-half,1988-12-09,26,9,Wales,2015
Gareth Anscombe,Fly-half,1991-05-10,23,0,Wales,2015
Dan Biggar,Fly-half,1989-10-16,25,28,Wales,2015
Rhys Priestland,Fly-half,1987-01-09,28,32,Wales,2015
Cory Allen,Centre,1993-02-11,21,2,Wales,2015
Jonathan Davies,Centre,1988-04-05,26,43,Wales,2015
Tyler Morgan,Centre,1995-09-11,19,0,Wales,2015
Jamie Roberts,Centre,1986-11-08,28,64,Wales,2015
Scott Williams,Centre,1990-10-10,24,27,Wales,2015
Hallam Amos,Wing,1994-09-24,20,1,Wales,2015
Alex Cuthbert,Wing,1990-04-05,24,30,Wales,2015
George North,Wing,1992-04-13,22,45,Wales,2015
Leigh Halfpenny,Fullback,1988-12-22,26,55,Wales,2015
Liam Williams,Fullback,1991-04-09,23,18,Wales,2015
Ken Owens,Hooker,1987-01-03,28,26,Wales,2015
Tomas Francis,Prop,1992-04-27,22,0,Wales,2015
Rhys Gill,Prop,1986-10-30,28,5,Wales,2015
Leonardo Ghiraldini,Hooker,1984-12-26,37,70,Italy,2015
Andrea Manici,Hooker,1990-04-28,24,6,Italy,2015
Matías Agüero,Prop,1981-02-13,33,29,Italy,2015
Martin Castrogiovanni,Prop,1981-10-21,33,107,Italy,2015
Dario Chistolini,Prop,1988-09-14,26,5,Italy,2015
Alberto De Marchi,Prop,1986-03-13,28,23,Italy,2015
George Biagi,Lock,1985-10-04,29,3,Italy,2015
Marco Bortolami,Lock,1980-06-12,34,110,Italy,2015
Joshua Furno,Lock,1989-10-21,25,24,Italy,2015
Quintin Geldenhuys,Lock,1981-06-19,33,52,Italy,2015
Robert Barbieri,Flanker,1984-06-05,30,38,Italy,2015
Mauro Bergamasco,Flanker,1979-05-01,35,100,Italy,2015
Simone Favaro,Flanker,1988-11-07,26,23,Italy,2015
Francesco Minto,Flanker,1987-05-20,27,11,Italy,2015
Alessandro Zanni,Flanker,1984-01-31,31,86,Italy,2015
Sergio Parisse (c),Number 8,1983-09-12,31,108,Italy,2015
Edoardo Gori,Scrum-half,1990-03-05,24,37,Italy,2015
Guglielmo Palazzani,Scrum-half,1991-04-11,23,5,Italy,2015
Marcello Violi,Scrum-half,1993-10-11,21,0,Italy,2015
Tommaso Allan,Fly-half,1993-04-26,21,10,Italy,2015
Kelly Haimona,Fly-half,1986-07-30,28,3,Italy,2015
Giulio Bisegni,Centre,1992-04-04,22,0,Italy,2015
Michele Campagnaro,Centre,1993-03-13,21,12,Italy,2015
Luca Morisi,Centre,1991-02-22,23,9,Italy,2015
Simone Ragusi,Wing,1992-03-28,22,0,Italy,2015
Leonardo Sarto,Wing,1992-01-15,23,12,Italy,2015
Giovanbattista Venditti,Wing,1990-03-27,24,22,Italy,2015
Michele Visentin,Wing,1991-12-13,23,0,Italy,2015
Andrea Masi,Fullback,1981-03-30,33,87,Italy,2015
Luke McLean,Fullback,1987-06-29,27,63,Italy,2015
Lorenzo Cittadini,Prop,1982-12-17,32,36,Italy,2015
Michele Rizzo,Prop,1982-09-16,32,15,Italy,2015
Marco Fuser,Lock,1991-03-09,23,2,Italy,2015
Antonio Pavanello,Lock,1982-10-13,32,23,Italy,2015
Marco Barbini,Flanker,1990-10-16,24,0,Italy,2015
Samuela Vunisa,Flanker,1988-08-19,26,1,Italy,2015
Luciano Orquera,Fly-half,1981-10-12,33,46,Italy,2015
Enrico Bacchin,Centre,1992-11-28,22,0,Italy,2015
Tommaso Boni,Centre,1993-01-15,22,0,Italy,2015
Dylan Hartley,Hooker,1986-03-24,27,50,England,2014
Rob Webber,Hooker,1986-08-01,27,5,England,2014
Tom Youngs,Hooker,1987-01-28,27,12,England,2014
Dan Cole,Prop,1987-05-09,26,43,England,2014
Joe Marler,Prop,1990-07-07,23,15,England,2014
Matt Mullan,Prop,1987-02-23,26,2,England,2014
Henry Thomas,Prop,1991-10-30,22,2,England,2014
Mako Vunipola,Prop,1991-01-13,23,10,England,2014
Dave Attwood,Lock,1987-04-05,26,5,England,2014
Joe Launchbury,Lock,1991-04-12,22,14,England,2014
Courtney Lawes,Lock,1989-02-23,24,25,England,2014
Ed Slater,Lock,1988-08-01,25,0,England,2014
Tom Johnson,Flanker,1982-07-16,31,5,England,2014
Matt Kvesic,Flanker,1992-04-14,21,2,England,2014
Chris Robshaw (c),Flanker,1986-06-04,27,20,England,2014
Tom Wood,Flanker,1986-11-03,27,23,England,2014
Ben Morgan,Number 8,1989-02-18,24,15,England,2014
Billy Vunipola,Number 8,1992-11-03,21,5,England,2014
Danny Care,Scrum-half,1987-01-02,27,42,England,2014
Lee Dickson,Scrum-half,1985-03-29,28,12,England,2014
Ben Youngs,Scrum-half,1989-09-05,24,35,England,2014
Richard Wigglesworth,Scrum-half,1983-06-09,30,14,England,2014
Owen Farrell,Fly-half,1991-09-21,22,19,England,2014
George Ford,Fly-half,1993-03-16,20,0,England,2014
Stephen Myler,Fly-half,1984-07-21,29,1,England,2014
Brad Barritt,Centre,1986-08-07,27,16,England,2014
Luther Burrell,Centre,1987-12-06,26,0,England,2014
Kyle Eastmond,Centre,1989-07-17,24,2,England,2014
Billy Twelvetrees,Centre,1988-11-15,25,8,England,2014
Chris Ashton,Wing,1987-03-29,26,37,England,2014
Jonny May,Wing,1990-04-01,23,1,England,2014
Jack Nowell,Wing,1993-04-11,20,0,England,2014
Anthony Watson,Wing,1994-02-26,19,0,England,2014
Mike Brown,Fullback,1985-09-04,28,21,England,2014
Alex Goode,Fullback,1988-05-07,25,13,England,2014
David Wilson,Prop,1985-04-09,28,31,England,2014
Freddie Burns,Fly-half,1990-05-13,23,3,England,2014
Manu Tuilagi,Centre,1991-05-18,22,21,England,2014
Marland Yarde,Wing,1992-04-20,21,2,England,2014
Benjamin Kayser,Hooker,1984-07-26,29,22,France,2014
Dimitri Szarzewski,Hooker,1983-01-26,31,75,France,2014
Thomas Domingo,Prop,1985-08-20,28,28,France,2014
Yannick Forestier,Prop,1982-01-03,32,8,France,2014
Nicolas Mas,Prop,1980-05-23,33,66,France,2014
Rabah Slimani,Prop,1989-10-18,24,3,France,2014
Alexandre Flanquart,Lock,1989-10-09,24,2,France,2014
Yoann Maestri,Lock,1988-01-14,26,20,France,2014
Pascal Papé,Lock,1980-10-05,33,49,France,2014
Sébastien Vahaamahina,Lock,1991-10-21,22,9,France,2014
Antoine Burban,Flanker,1987-07-22,26,0,France,2014
Thierry Dusautoir (c),Flanker,1981-11-18,32,65,France,2014
Bernard Le Roux,Flanker,1989-06-04,24,3,France,2014
Yannick Nyanga,Flanker,1983-12-19,30,34,France,2014
Damien Chouly,Number 8,1985-11-27,28,13,France,2014
Louis Picamoles,Number 8,1986-02-05,27,38,France,2014
Jean-Marc Doussain,Scrum-half,1991-02-12,22,5,France,2014
Maxime Machenaud,Scrum-half,1988-12-30,25,11,France,2014
Jules Plisson,Fly-half,1991-08-20,22,0,France,2014
Rémi Tales,Fly-half,1984-05-02,29,5,France,2014
Mathieu Bastareaud,Centre,1988-09-17,25,18,France,2014
Gaël Fickou,Centre,1994-03-26,19,3,France,2014
Wesley Fofana,Centre,1988-01-20,26,21,France,2014
Maxime Mermoz,Centre,1986-07-28,27,25,France,2014
Sofiane Guitoune,Wing,1989-03-27,24,2,France,2014
Yoann Huget,Wing,1987-06-02,26,22,France,2014
Maxime Médard,Wing,1986-11-16,27,36,France,2014
Geoffrey Palis,Fullback,1991-07-08,22,0,France,2014
Hugo Bonneval,Fullback,1990-11-19,23,0,France,2014
Brice Dulin,Fullback,1990-04-13,23,10,France,2014
Guilhem Guirado,Hooker,1986-06-17,27,18,France,2014
Brice Mach,Hooker,1986-04-02,27,0,France,2014
Vincent Debaty,Prop,1981-10-02,32,20,France,2014
Virgile Bruni,Flanker,1989-02-06,24,0,France,2014
Ibrahim Diarra,Flanker,1983-05-25,30,1,France,2014
Alexandre Lapandry,Flanker,1989-04-13,24,8,France,2014
Wenceslas Lauret,Flanker,1989-03-28,24,5,France,2014
Antonie Claassen,Number 8,1984-10-20,29,4,France,2014
Morgan Parra,Scrum-half,1988-11-15,25,54,France,2014
François Trinh-Duc,Fly-half,1986-11-11,27,48,France,2014
Rémi Lamerat,Centre,1990-01-14,24,0,France,2014
Marc Andreu,Wing,1985-12-27,28,7,France,2014
Jean-Marcellin Buttin,Wing,1991-12-16,22,2,France,2014
Rory Best,Hooker,1982-08-15,31,70,France,2014
Seán Cronin,Hooker,1986-05-06,27,30,Ireland,2014
Cian Healy,Prop,1987-10-07,26,42,Ireland,2014
Jack McGrath,Prop,1989-10-11,24,3,Ireland,2014
Martin Moore,Prop,1991-03-01,22,0,Ireland,2014
Mike Ross,Prop,1979-12-21,34,34,Ireland,2014
Iain Henderson,Lock,1992-02-21,21,6,Ireland,2014
Mike McCarthy,Lock,1981-11-27,32,15,Ireland,2014
Paul O'Connell (c),Lock,1979-10-20,34,88,Ireland,2014
Devin Toner,Lock,1986-06-29,27,10,Ireland,2014
Dan Tuohy,Lock,1985-06-18,28,7,Ireland,2014
Chris Henry,Flanker,1984-10-17,29,9,Ireland,2014
Jordi Murphy,Flanker,1991-04-22,22,0,Ireland,2014
Tommy O'Donnell,Flanker,1987-05-21,26,2,Ireland,2014
Peter O'Mahony,Flanker,1989-09-17,24,19,Ireland,2014
Rhys Ruddock,Flanker,1990-11-13,23,1,Ireland,2014
Robin Copeland,Number 8,1987-10-23,26,0,Ireland,2014
Jamie Heaslip,Number 8,1983-12-15,30,60,Ireland,2014
Conor Murray,Scrum-half,1989-04-20,24,22,Ireland,2014
Eoin Reddan,Scrum-half,1980-11-20,33,52,Ireland,2014
Paddy Jackson,Fly-half,1992-01-05,22,5,Ireland,2014
Ian Madigan,Fly-half,1989-03-21,24,7,Ireland,2014
Johnny Sexton,Fly-half,1985-07-11,28,38,Ireland,2014
Darren Cave,Centre,1987-04-05,26,5,Ireland,2014
Gordon D'Arcy,Centre,1980-02-10,33,75,Ireland,2014
Robbie Henshaw,Centre,1993-06-12,20,3,Ireland,2014
Luke Marshall,Centre,1991-03-03,22,4,Ireland,2014
Brian O'Driscoll,Centre,1979-01-21,35,128,Ireland,2014
Luke Fitzgerald,Wing,1987-09-13,26,27,Ireland,2014
David Kearney,Wing,1989-06-19,24,2,Ireland,2014
Fergus McFadden,Wing,1986-06-17,27,21,Ireland,2014
Andrew Trimble,Wing,1984-10-20,29,50,Ireland,2014
Felix Jones,Fullback,1987-08-05,26,5,Ireland,2014
Rob Kearney,Fullback,1986-03-26,27,49,Ireland,2014
Richardt Strauss,Hooker,1986-01-29,28,4,Ireland,2014
Dave Kilcoyne,Prop,1988-12-14,25,8,Ireland,2014
Donnacha Ryan,Lock,1983-12-11,30,28,Ireland,2014
Robbie Diack,Number 8,1985-11-12,28,0,Ireland,2014
Isaac Boss,Scrum-half,1980-04-09,33,17,Ireland,2014
Simon Zebo,Wing,1990-03-16,23,6,Ireland,2014
Leonardo Ghiraldini,Hooker,1984-12-26,29,59,Italy,2014
Davide Giazzon,Hooker,1986-01-16,28,15,Italy,2014
Martin Castrogiovanni,Prop,1981-10-21,32,101,Italy,2014
Lorenzo Cittadini,Prop,1982-12-17,31,27,Italy,2014
Alberto De Marchi,Prop,1986-03-13,27,12,Italy,2014
Michele Rizzo,Prop,1982-09-16,31,11,Italy,2014
Marco Bortolami,Lock,1980-06-12,33,99,Italy,2014
Marco Fuser,Lock,1991-03-09,22,1,Italy,2014
Quintin Geldenhuys,Lock,1981-06-19,32,41,Italy,2014
Antonio Pavanello,Lock,1982-10-13,31,22,Italy,2014
Robert Barbieri,Flanker,1984-06-05,29,32,Italy,2014
Mauro Bergamasco,Flanker,1979-05-01,34,95,Italy,2014
Paul Derbyshire,Flanker,1986-11-03,27,20,Italy,2014
Joshua Furno,Flanker,1989-10-21,24,13,Italy,2014
Alessandro Zanni,Flanker,1984-01-31,30,80,Italy,2014
Sergio Parisse (c),Number 8,1983-09-12,30,101,Italy,2014
Tobias Botes,Scrum-half,1984-04-26,29,19,Italy,2014
Edoardo Gori,Scrum-half,1990-03-05,23,29,Italy,2014
Guglielmo Palazzani,Scrum-half,1991-04-11,22,0,Italy,2014
Tommaso Allan,Fly-half,1993-04-26,20,3,Italy,2014
Luciano Orquera,Fly-half,1981-10-12,32,37,Italy,2014
Tommaso Benvenuti,Centre,1990-12-12,23,30,Italy,2014
Michele Campagnaro,Centre,1993-03-13,20,2,Italy,2014
Gonzalo Garcia,Centre,1984-02-18,29,29,Italy,2014
Alberto Sgarbi,Centre,1986-11-26,27,27,Italy,2014
Mirco Bergamasco,Wing,1983-02-23,30,89,Italy,2014
Angelo Esposito,Wing,1993-06-14,20,0,Italy,2014
Tommaso Iannone,Wing,1990-09-16,23,6,Italy,2014
Leonardo Sarto,Wing,1992-01-15,22,2,Italy,2014
Luke McLean,Fullback,1987-06-29,26,52,Italy,2014
Matías Agüero,Prop,1981-02-13,32,22,Italy,2014
George Biagi,Lock,1980-10-04,33,0,Italy,2014
Francesco Minto,Flanker,1987-05-20,26,7,Italy,2014
Manoa Vosawai,Number 8,1983-08-12,30,13,Italy,2014
Tito Tebaldi,Scrum-half,1987-09-23,26,16,Italy,2014
Andrea Masi,Fullback,1981-03-30,32,80,Italy,2014
Ross Ford,Hooker,1984-04-23,38,71,Scotland,2014
Scott Lawson,Hooker,1981-09-28,32,39,Scotland,2014
Pat MacArthur,Hooker,1987-04-27,26,3,Scotland,2014
Geoff Cross,Prop,1982-12-11,31,23,Scotland,2014
Alasdair Dickinson,Prop,1983-09-11,30,30,Scotland,2014
Ryan Grant,Prop,1985-10-08,28,13,Scotland,2014
Moray Low,Prop,1984-11-28,29,23,Scotland,2014
Grant Gilchrist,Lock,1990-08-09,23,4,Scotland,2014
Jonny Gray,Lock,1994-03-14,19,2,Scotland,2014
Richie Gray,Lock,1989-08-24,24,33,Scotland,2014
Jim Hamilton,Lock,1982-11-17,31,50,Scotland,2014
Kieran Low,Lock,1991-01-27,23,1,Scotland,2014
Tim Swinson,Lock,1987-02-17,26,3,Scotland,2014
Kelly Brown (c),Flanker,1982-06-08,31,60,Scotland,2014
Chris Fusaro,Flanker,1989-07-21,24,0,Scotland,2014
Rob Harley,Flanker,1990-05-26,23,5,Scotland,2014
Ross Rennie,Flanker,1986-03-29,27,20,Scotland,2014
Alasdair Strokosch,Flanker,1983-02-21,30,37,Scotland,2014
Johnnie Beattie,Number 8,1985-11-21,28,26,Scotland,2014
David Denton,Number 8,1990-02-05,23,17,Scotland,2014
Ryan Wilson,Number 8,1989-05-18,24,4,Scotland,2014
Chris Cusiter,Scrum-half,1982-06-13,31,64,Scotland,2014
Greig Laidlaw,Scrum-half,1985-10-12,28,24,Scotland,2014
Ruaridh Jackson,Fly-half,1988-02-12,25,23,Scotland,2014
Duncan Weir,Fly-half,1991-05-10,22,8,Scotland,2014
Nick De Luca,Centre,1984-02-01,30,41,Scotland,2014
Alex Dunbar,Centre,1990-04-23,23,3,Scotland,2014
Matt Scott,Centre,1990-09-30,23,16,Scotland,2014
Duncan Taylor,Centre,1989-09-05,24,6,Scotland,2014
Max Evans,Wing,1983-09-28,30,37,Scotland,2014
Dougie Fife,Wing,1990-08-08,23,0,Scotland,2014
Sean Lamont,Wing,1981-01-15,33,82,Scotland,2014
Sean Maitland,Wing,1988-09-14,25,8,Scotland,2014
Tommy Seymour,Wing,1988-07-01,25,5,Scotland,2014
Stuart Hogg,Fullback,1992-06-24,21,15,Scotland,2014
Greig Tonks,Fullback,1989-05-20,24,1,Scotland,2014
Euan Murray,Prop,1980-08-07,33,58,Scotland,2014
Richie Vernon,Centre,1987-07-07,26,20,Scotland,2014
Lee Jones,Wing,1988-06-28,25,4,Scotland,2014
Jack Cuthbert,Fullback,1987-09-03,26,1,Scotland,2014
Richard Hibbard,Hooker,1983-12-13,30,26,Wales,2014
Ken Owens,Hooker,1987-01-03,27,19,Wales,2014
Emyr Phillips,Hooker,1987-02-22,26,3,Wales,2014
Ryan Bevington,Prop,1988-12-09,25,12,Wales,2014
Paul James,Prop,1982-05-13,31,48,Wales,2014
Gethin Jenkins,Prop,1980-11-17,33,101,Wales,2014
Adam Jones,Prop,1981-03-08,32,89,Wales,2014
Rhodri Jones,Prop,1991-12-23,22,5,Wales,2014
Samson Lee,Prop,1992-11-30,21,3,Wales,2014
Luke Charteris,Lock,1983-03-09,30,43,Wales,2014
Andrew Coombs,Lock,1984-10-27,29,6,Wales,2014
Ian Evans,Lock,1984-10-04,29,32,Wales,2014
Alun Wyn Jones,Lock,1985-09-19,28,74,Wales,2014
Ryan Jones,Flanker,1981-03-13,32,75,Wales,2014
Dan Lydiate,Flanker,1987-12-18,26,30,Wales,2014
Aaron Shingler,Flanker,1987-08-07,26,7,Wales,2014
Justin Tipuric,Flanker,1989-08-06,24,19,Wales,2014
Sam Warburton (c),Flanker,1988-10-05,25,41,Wales,2014
Taulupe Faletau,Number 8,1990-11-12,23,29,Wales,2014
Mike Phillips,Scrum-half,1982-08-29,31,80,Wales,2014
Rhys Webb,Scrum-half,1988-12-09,25,3,Wales,2014
Rhodri Williams,Scrum-half,1993-05-05,20,2,Wales,2014
Dan Biggar,Fly-half,1989-10-16,24,20,Wales,2014
James Hook,Fly-half,1985-06-27,28,73,Wales,2014
Rhys Priestland,Fly-half,1987-01-09,27,25,Wales,2014
Jonathan Davies,Centre,1988-04-05,25,37,Wales,2014
Jamie Roberts,Centre,1986-11-08,27,53,Wales,2014
Scott Williams,Centre,1990-10-10,23,23,Wales,2014
Alex Cuthbert,Wing,1990-04-05,23,19,Wales,2014
George North,Wing,1992-04-13,21,35,Wales,2014
Leigh Halfpenny,Fullback,1988-12-22,25,48,Wales,2014
Liam Williams,Fullback,1991-04-09,22,8,Wales,2014
Jake Ball,Lock,1991-06-21,22,0,Wales,2014
James King,Flanker,1990-07-24,23,2,Wales,2014
Dylan Hartley,Hooker,1986-03-24,26,42,England,2013
Tom Youngs,Hooker,1987-01-28,26,4,England,2013
Dan Cole,Prop,1987-05-09,25,35,England,2013
Alex Corbisiero,Prop,1988-08-30,24,18,England,2013
Joe Marler,Prop,1990-07-07,22,5,England,2013
Mako Vunipola,Prop,1991-01-13,22,4,England,2013
David Wilson,Prop,1985-04-09,27,22,England,2013
Joe Launchbury,Lock,1991-04-12,21,4,England,2013
Courtney Lawes,Lock,1989-02-23,23,15,England,2013
Geoff Parling,Lock,1983-10-28,29,12,England,2013
Calum Clark,Flanker,1989-06-10,23,0,England,2013
Tom Croft,Flanker,1985-11-07,27,36,England,2013
James Haskell,Flanker,1985-04-02,27,45,England,2013
Tom Johnson,Flanker,1982-07-16,30,5,England,2013
Chris Robshaw (c),Flanker,1986-06-04,26,12,England,2013
Tom Wood,Flanker,1986-11-03,26,13,England,2013
Ben Morgan,Number 8,1989-02-18,23,8,England,2013
Thomas Waldrom,Number 8,1983-04-28,29,4,England,2013
Danny Care,Scrum-half,1987-01-02,26,37,England,2013
Lee Dickson,Scrum-half,1985-03-29,27,7,England,2013
Ben Youngs,Scrum-half,1989-09-05,23,28,England,2013
Freddie Burns,Fly-half,1990-05-13,22,1,England,2013
Owen Farrell,Fly-half,1991-09-24,21,12,England,2013
Toby Flood,Fly-half,1985-08-08,27,53,England,2013
Brad Barritt,Centre,1986-08-07,26,11,England,2013
Jonathan Joseph,Centre,1991-05-21,21,4,England,2013
Manu Tuilagi,Centre,1991-05-18,21,17,England,2013
Billy Twelvetrees,Centre,1988-11-15,24,0,England,2013
Chris Ashton,Wing,1987-03-29,25,29,England,2013
Mike Brown,Wing,1985-09-04,27,11,England,2013
David Strettle,Wing,1983-07-23,29,12,England,2013
Ben Foden,Fullback,1985-07-22,27,30,England,2013
